campaign_id,company_size,industry,marketing_channel,ad_spend,duration,target_audience,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
1,Nov-50,manufacturing,email,41484,71,18-34,Europe,tablet,Android,Safari,12547,0.141545,1,584.2816901,12547,0.7,0.8,0.7
2,100+,services,influencer,23155,13,55+,Africa,mobile,Android,Chrome,155190,0.498371967,1,1781.153846,258650,0.8,0.8,0.9
3,51-100,services,content marketing,25838,68,suburban,North America,tablet,iOS,Chrome,125296,0.213533274,1,379.9705882,139217.7778,0.7,0.9,0.9
4,Nov-50,technology,content marketing,28154,60,35-54,South America,mobile,Windows,Chrome,121101,0.297613741,1,469.2333333,151376.25,0.8,0.7,0.9
5,10-Jan,manufacturing,search engine,49035,58,rural,Asia-Pacific,tablet,iOS,Firefox,482402,0.60457956,1,845.4310345,689145.7143,0.7,0.9,0.8
6,10-Jan,finance,social media,35294,57,35-54,Africa,mobile,Windows,Chrome,441403,0.599037854,1,619.1929825,551753.75,0.8,0.7,0.9
7,10-Jan,e-commerce,search engine,10273,10,urban,South America,desktop,Windows,Chrome,109421,0.871805493,1,1027.3,91184.16667,0.9,0.7,0.9
8,100+,technology,social media,13697,7,rural,Africa,desktop,Windows,Firefox,104722,0.164580385,1,1956.714286,149602.8571,0.9,0.7,0.8
9,51-100,finance,search engine,10628,72,suburban,Europe,mobile,iOS,Safari,277800,0.497401785,1,147.6111111,308666.6667,0.8,0.9,0.7
10,51-100,finance,search engine,42681,41,suburban,South America,tablet,iOS,Chrome,465214,0.598832314,1,1041,516904.4444,0.7,0.9,0.9
11,10-Jan,finance,content marketing,30414,83,35-54,North America,desktop,Windows,Safari,99871,0.930469524,1,366.4337349,124838.75,0.9,0.7,0.7
12,100+,healthcare,social media,49831,87,35-54,Europe,tablet,Android,Firefox,263712,0.516423337,1,572.7701149,329640,0.7,0.8,0.8
13,100+,finance,email,9718,16,suburban,North America,tablet,Windows,Safari,314013,0.340661944,0,607.375,348903.3333,0.7,0.7,0.7
14,Nov-50,services,email,24060,73,35-54,Africa,desktop,Android,Firefox,484183,0.292138704,1,329.5890411,605228.75,0.9,0.8,0.8
15,10-Jan,retail,search engine,5096,74,18-34,North America,desktop,Windows,Firefox,403805,0.216099112,1,68.86486486,403805,0.9,0.7,0.8
16,10-Jan,e-commerce,search engine,23347,71,35-54,Europe,tablet,Windows,Safari,335484,0.96236771,0,328.8309859,419355,0.7,0.7,0.7
17,Nov-50,e-commerce,content marketing,43169,57,18-34,Europe,mobile,Android,Safari,368298,0.60293832,1,757.3508772,368298,0.8,0.8,0.7
18,Nov-50,services,social media,35396,36,rural,Europe,desktop,Android,Chrome,338399,0.303523286,0,983.2222222,483427.1429,0.9,0.8,0.9
19,Nov-50,e-commerce,search engine,16058,45,35-54,Africa,mobile,iOS,Firefox,265121,0.745113387,1,356.8444444,331401.25,0.8,0.9,0.8
20,Nov-50,services,email,17218,16,55+,Asia-Pacific,mobile,Android,Safari,376480,0.289274913,1,1076.125,627466.6667,0.8,0.8,0.7
21,51-100,services,social media,21982,50,55+,Africa,desktop,Windows,Chrome,239376,0.503837739,1,439.64,398960,0.9,0.7,0.9
22,10-Jan,e-commerce,search engine,37281,38,rural,Europe,mobile,iOS,Firefox,429182,0.025976271,1,981.0789474,613117.1429,0.8,0.9,0.8
23,Nov-50,finance,social media,8963,50,rural,Africa,mobile,Windows,Chrome,481175,0.846570317,1,179.26,687392.8571,0.8,0.7,0.9
24,Nov-50,e-commerce,content marketing,30004,69,55+,South America,mobile,iOS,Chrome,251166,0.956551984,1,434.8405797,418610,0.8,0.9,0.9
25,Nov-50,healthcare,email,28677,67,rural,South America,mobile,Windows,Firefox,59278,0.865755338,1,428.0149254,84682.85714,0.8,0.7,0.8
26,51-100,services,social media,49741,71,18-34,Asia-Pacific,tablet,Android,Chrome,313983,0.171113722,1,700.5774648,313983,0.7,0.8,0.9
27,10-Jan,finance,email,6324,47,18-34,Africa,mobile,Windows,Safari,456568,0.825271366,1,134.5531915,456568,0.8,0.7,0.7
28,Nov-50,finance,search engine,32166,87,urban,Africa,mobile,Windows,Chrome,49413,0.347007049,1,369.7241379,41177.5,0.8,0.7,0.9
29,Nov-50,technology,influencer,48374,18,urban,South America,mobile,iOS,Chrome,31928,0.936281687,1,2687.444444,26606.66667,0.8,0.9,0.9
30,10-Jan,technology,social media,29495,8,35-54,Europe,mobile,Android,Firefox,227474,0.299077897,1,3686.875,284342.5,0.8,0.8,0.8
31,51-100,e-commerce,email,42932,79,18-34,North America,tablet,Android,Safari,299902,0.089400791,1,543.443038,299902,0.7,0.8,0.7
32,10-Jan,finance,social media,31092,82,55+,Europe,tablet,Windows,Safari,397170,0.852920479,1,379.1707317,661950,0.7,0.7,0.7
33,10-Jan,finance,search engine,6339,66,55+,Asia-Pacific,tablet,Windows,Safari,262230,0.116646527,1,96.04545455,437050,0.7,0.7,0.7
34,100+,finance,search engine,17286,31,55+,North America,desktop,iOS,Safari,115304,0.541435083,0,557.6129032,192173.3333,0.9,0.9,0.7
35,100+,technology,email,34235,67,35-54,Europe,desktop,iOS,Chrome,241059,0.375947896,1,510.9701493,301323.75,0.9,0.9,0.9
36,100+,services,content marketing,16595,28,18-34,Africa,tablet,Android,Safari,104820,0.756854223,1,592.6785714,104820,0.7,0.8,0.7
37,Nov-50,finance,social media,30552,62,rural,Africa,desktop,Android,Safari,466923,0.748899543,1,492.7741935,667032.8571,0.9,0.8,0.7
38,10-Jan,services,social media,18629,27,35-54,South America,tablet,iOS,Firefox,55452,0.776137504,1,689.962963,69315,0.7,0.9,0.8
39,51-100,retail,search engine,44234,61,rural,Africa,mobile,iOS,Safari,84380,0.063282131,1,725.147541,120542.8571,0.8,0.9,0.7
40,Nov-50,e-commerce,social media,34925,46,suburban,Africa,tablet,Windows,Firefox,227987,0.858375341,1,759.2391304,253318.8889,0.7,0.7,0.8
41,10-Jan,finance,email,43231,57,suburban,Asia-Pacific,tablet,Windows,Safari,258898,0.466329759,1,758.4385965,287664.4444,0.7,0.7,0.7
42,Nov-50,e-commerce,influencer,43258,28,urban,North America,desktop,iOS,Chrome,80315,0.219184191,1,1544.928571,66929.16667,0.9,0.9,0.9
43,10-Jan,services,search engine,17843,34,rural,Europe,tablet,iOS,Safari,422883,0.298895814,1,524.7941176,604118.5714,0.7,0.9,0.7
44,100+,retail,influencer,37035,10,18-34,Europe,mobile,iOS,Firefox,326133,0.902742313,1,3703.5,326133,0.8,0.9,0.8
45,Nov-50,finance,social media,28988,32,rural,Asia-Pacific,tablet,Windows,Safari,484949,0.00599314,1,905.875,692784.2857,0.7,0.7,0.7
46,51-100,technology,content marketing,37683,66,rural,North America,tablet,Android,Chrome,6226,0.801722108,1,570.9545455,8894.285714,0.7,0.8,0.9
47,Nov-50,services,email,37986,29,55+,Africa,tablet,iOS,Firefox,76173,0.923929581,1,1309.862069,126955,0.7,0.9,0.8
48,Nov-50,e-commerce,social media,38301,47,18-34,Asia-Pacific,tablet,Windows,Chrome,105512,0.250054696,1,814.9148936,105512,0.7,0.7,0.9
49,Nov-50,finance,email,19977,64,rural,Africa,desktop,Android,Safari,122777,0.82200252,1,312.140625,175395.7143,0.9,0.8,0.7
50,10-Jan,finance,social media,12951,14,rural,Europe,desktop,iOS,Safari,372467,0.161089938,1,925.0714286,532095.7143,0.9,0.9,0.7
51,100+,finance,social media,31071,57,rural,Asia-Pacific,desktop,Android,Firefox,214200,0.016225216,1,545.1052632,306000,0.9,0.8,0.8
52,51-100,manufacturing,social media,14565,67,urban,Asia-Pacific,tablet,Windows,Chrome,458543,0.604574331,1,217.3880597,382119.1667,0.7,0.7,0.9
53,100+,finance,search engine,33715,7,55+,Asia-Pacific,mobile,Windows,Chrome,146420,0.646202776,1,4816.428571,244033.3333,0.8,0.7,0.9
54,100+,manufacturing,influencer,42109,36,35-54,Europe,desktop,iOS,Firefox,297999,0.150142307,1,1169.694444,372498.75,0.9,0.9,0.8
55,Nov-50,retail,content marketing,42850,23,55+,Europe,mobile,Android,Safari,159108,0.512467544,1,1863.043478,265180,0.8,0.8,0.7
56,100+,manufacturing,influencer,16334,29,rural,South America,desktop,Android,Safari,431086,0.385491656,1,563.2413793,615837.1429,0.9,0.8,0.7
57,10-Jan,manufacturing,influencer,31300,30,rural,Europe,mobile,Android,Chrome,94475,0.076258139,1,1043.333333,134964.2857,0.8,0.8,0.9
58,10-Jan,finance,email,24369,75,suburban,Europe,tablet,Android,Firefox,67679,0.507742283,1,324.92,75198.88889,0.7,0.8,0.8
59,10-Jan,retail,search engine,43362,58,35-54,Africa,tablet,Windows,Chrome,14600,0.585136582,1,747.6206897,18250,0.7,0.7,0.9
60,Nov-50,services,search engine,29401,77,rural,Europe,desktop,Android,Safari,193099,0.217172058,0,381.8311688,275855.7143,0.9,0.8,0.7
61,Nov-50,services,social media,49614,64,55+,North America,mobile,iOS,Safari,22190,0.739779641,1,775.21875,36983.33333,0.8,0.9,0.7
62,Nov-50,e-commerce,influencer,25639,28,35-54,Africa,tablet,Windows,Chrome,164479,0.072601445,1,915.6785714,205598.75,0.7,0.7,0.9
